stimulus,Dilution,Acid,Ammonia,Bakery,Burnt,Chemical,Cold,Decayed,Familiarity,Fish,Flower,Fruit,Garlic,Grass,Intensity,Musky,Pleasantness,Sour,Spices,Sweaty,Sweet,Warm,Wood,CID,IsomericSMILES,IUPACName,name
126,0.001,0.05657142857142858,0.035,0.004,0.012352941176470589,0.12411764705882353,0.06142857142857143,0.03764705882352941,0.39054054054054055,0.0,0.056764705882352946,0.022571428571428572,0.02529411764705882,0.017941176470588235,0.37567567567567567,0.05117647058823529,0.5183783783783784,0.025588235294117644,0.049705882352941176,0.011176470588235295,0.15861111111111112,0.05571428571428571,0.002352941176470588,126,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde
126,0.1,0.026734693877551022,0.0148,0.007551020408163265,0.015510204081632652,0.126,0.0134,0.0458,0.395,0.005102040816326531,0.07591836734693878,0.037599999999999995,0.002653061224489796,0.012653061224489797,0.5163461538461539,0.0512,0.4921153846153846,0.07200000000000001,0.02489795918367347,0.0163265306122449,0.1478,0.011000000000000001,0.01183673469387755,126,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde
176,1e-07,0.03166666666666666,0.05,0.007142857142857143,0.013846153846153847,0.165,0.0008333333333333333,0.04846153846153846,0.35473684210526313,0.05846153846153846,0.062142857142857146,0.009230769230769232,0.04384615384615385,0.058571428571428566,0.11789473684210526,0.07466666666666667,0.4605263157894737,0.09928571428571428,0.05333333333333333,0.08428571428571428,0.022857142857142857,0.09533333333333333,0.06285714285714286,176,CC(=O)O,acetic acid,acetic acid
176,1e-05,0.02090909090909091,0.04476190476190476,0.03142857142857143,0.042727272727272725,0.05954545454545454,0.06409090909090909,0.03761904761904762,0.4196551724137931,0.0,0.07714285714285714,0.015238095238095238,0.05476190476190476,0.022173913043478263,0.2124137931034483,0.07181818181818182,0.47793103448275864,0.19545454545454546,0.09304347826086957,0.0808695652173913,0.07173913043478261,0.05238095238095238,0.022857142857142857,176,CC(=O)O,acetic acid,acetic acid
177,1e-05,0.025416666666666664,0.004166666666666667,0.06,0.017083333333333332,0.0864,0.044000000000000004,0.04083333333333333,0.4140625,0.021739130434782608,0.06083333333333333,0.04695652173913044,0.020434782608695655,0.01652173913043478,0.218125,0.08826086956521738,0.5396875,0.08839999999999999,0.0052,0.01608695652173913,0.15923076923076923,0.023076923076923075,0.0036,177,CC=O,acetaldehyde,acetaldehyde
177,0.001,0.047027027027027025,0.038918918918918924,0.05243243243243243,0.012368421052631579,0.10512820512820513,0.04394736842105263,0.03263157894736842,0.3740476190476191,0.0,0.022432432432432436,0.0034210526315789475,0.006486486486486487,0.034594594594594595,0.4045238095238095,0.04054054054054054,0.45,0.09763157894736843,0.026315789473684213,0.026216216216216216,0.13315789473684211,0.03358974358974359,0.010810810810810811,177,CC=O,acetaldehyde,acetaldehyde
180,0.001,0.036000000000000004,0.0364,0.025,0.0384,0.07629629629629629,0.08814814814814814,0.014074074074074074,0.387741935483871,0.0364,0.00041666666666666664,0.0424,0.0352,0.06653846153846155,0.30032258064516126,0.0816,0.512258064516129,0.0128,0.023333333333333334,0.0128,0.07208333333333333,0.0632,0.10041666666666665,180,CC(=O)C,propan-2-one,acetone
180,0.1,0.031212121212121212,0.049705882352941176,0.01818181818181818,0.03,0.09882352941176471,0.07393939393939393,0.0603030303030303,0.40567567567567564,0.022424242424242423,0.11882352941176472,0.05235294117647059,0.02515151515151515,0.06393939393939393,0.37,0.07303030303030303,0.5656756756756757,0.08757575757575758,0.04242424242424242,0.00030303030303030303,0.10742857142857141,0.07588235294117647,0.0811764705882353,180,CC(=O)C,propan-2-one,acetone
196,0.001,0.09,0.004545454545454545,0.006521739130434783,0.007272727272727273,0.10375,0.024347826086956525,0.023636363636363636,0.3403703703703704,0.010454545454545454,0.007727272727272727,0.0,0.05913043478260869,0.02375,0.14,0.10695652173913044,0.38481481481481483,0.15,0.061818181818181814,0.06409090909090909,0.022173913043478263,0.045454545454545456,0.014090909090909091,196,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
196,0.1,0.0321875,0.0278125,0.0225,0.0459375,0.07515151515151515,0.05235294117647059,0.06696969696969697,0.43472222222222223,0.0,0.0596875,0.013125,0.0190625,0.0221875,0.35694444444444445,0.0715625,0.5266666666666666,0.0509375,0.0875,0.03,0.1673529411764706,0.09911764705882353,0.020625,196,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
