compound_id,CID,SMILES,is_solvent
0,10313079,CN(C)C.Cl,FALSE
1,10400,C1CCCC(=O)CC1,FALSE
2,10430,CC(C)CC(=O)O,FALSE
3,1049,C1=CC=NC=C1,FALSE
4,10882,CCCCC(=O)OCC,FALSE
5,10886,CCCCCC(=O)OCCCCC,FALSE
6,10890,CCCCCOC(=O)CCC,FALSE
7,11002,CCCCSCCCC,FALSE
8,11176,CCCOC(=O)CC(C)C,FALSE
9,11251,CC(C)C(=O)C,FALSE
10,1140,CC1=CC=CC=C1,FALSE
11,114533,CC(C1CCCCC1)OC(=O)C,FALSE
12,11552,CC(C)CC=O,FALSE
13,11702,CCC(CC)(CC)O,FALSE
14,11747,CCC(=O)C(=O)C,FALSE
15,11781,CN1C=CC2=CC=CC=C21,FALSE
16,12180,CCCC(=O)OC,FALSE
17,12206,CCCCC(=O)OC,FALSE
18,12297,CCCCC(C)O,FALSE
19,12367,CCCCCCCC(C)O,FALSE
20,12748,CC1=CSC=N1,FALSE
21,12810,CCCCCC1CCCC(=O)O1,FALSE
22,12813,CCCCCCC1CCC(=O)O1,FALSE
23,14057,CC(C)(C)CC(=O)O,FALSE
24,14286,CC(=O)C1=CC=CC=N1,FALSE
25,14514,CC1=CC=C(O1)C(=O)C,FALSE
26,15037,C1=CN(C=C1)CC2=CC=CO2,FALSE
27,15651,C1=CC=C(C=C1)OCCN,FALSE
28,16590,C=CCSSCC=C,FALSE
29,177,CC=O,FALSE
30,18635,CSCCC=O,FALSE
31,18840,C1CCC(C1)C(=O)O,FALSE
32,20499,C1=COC(=C1)CSSCC2=CC=CO2,FALSE
33,21427952,C1CCC(C1)/C=C/C#N,FALSE
34,22201,CC1=NC=CN=C1C,FALSE
35,2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,FALSE
36,23642,COC1=CC=CC=C1S,FALSE
37,240,C1=CC=C(C=C1)C=O,FALSE
38,2724126,CC1(CCCC(N1[O])(C)C)C,FALSE
39,27458,CCC1=NC=CN=C1CC,FALSE
40,2758778,CCOC1=NC=CN=C1,FALSE
41,31252,CC1=CN=C(C=N1)C,FALSE
42,31260,CC(C)CCO,FALSE
43,31265,CCCCCC(=O)OCC,FALSE
44,31272,CCCCOC(=O)C,FALSE
45,325,CC(C)C1=CC=C(C=C1)CO,FALSE
46,32594,CC(C)CC1=NC=CN=C1OC,FALSE
47,326,CC(C)C1=CC=C(C=C1)C=O,FALSE
48,3314,COC1=C(C=CC(=C1)CC=C)O,FALSE
49,4133,COC(=O)C1=CC=CC=C1O,FALSE
50,439570,CC1=CC[C@H](CC1=O)C(=C)C,FALSE
51,443162,CC1=CC[C@H](CC1)C(C)(C)O,FALSE
52,460,COC1=CC=CC=C1O,FALSE
53,4657,COC1=CC=C(C=C1)CCN,FALSE
54,522674,C1=CSC(=C1)S,FALSE
55,5281167,CC/C=C\CCO,FALSE
56,5281168,CCC/C=C/C=O,FALSE
57,5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,FALSE
58,5282707,CCC/C=C/C(=O)O,FALSE
59,5318042,CCC/C=C/CO,FALSE
60,5324978,CC[C@H](C1=CC=CC=C1)N,FALSE
61,5362720,CC/C=C\CCCCC=O,FALSE
62,5362814,CC/C=C\CCC=O,FALSE
63,5363388,CC/C=C\CCOC(=O)C,FALSE
64,5365027,CCCCCC/C=C\CO,FALSE
65,5368076,CCCCCC/C=C/C(=O)OC,FALSE
66,61325,CC1C(=O)C(=C(O1)C)OC,FALSE
67,61527,CC1=CC(=C(O1)C)C(=O)C,FALSE
68,61641,COC(=O)CCSC,FALSE
69,61809,CCOC1=NC=CS1,FALSE
70,6184,CCCCCC=O,FALSE
71,61918,CCC1=NC=CN=C1C(=O)C,FALSE
72,61982,CC1CCC(C(=O)C1)C(C)(C)S,FALSE
73,62444,CCCC(=O)SC,FALSE
74,62465,CCC1=CC(=C(C=C1)O)OC,FALSE
75,6276,CCCCCO,FALSE
76,637511,C1=CC=C(C=C1)/C=C/C=O,FALSE
77,637564,C/C=C/C=C/C=O,FALSE
78,638011,CC(=CCC/C(=C/C=O)/C)C,FALSE
79,643731,CC/C=C\CC/C=C/C=O,FALSE
80,6544,CC1=CC(=O)CC(C1)(C)C,FALSE
81,6549,CC(=CCCC(C)(C=C)O)C,FALSE
82,6560,CC(C)CO,FALSE
83,6561,CC(C)C=O,FALSE
84,6736,CC1=CNC2=CC=CC=C12,FALSE
85,6920,CC(=O)C1=CC=CS1,FALSE
86,6989,CC1=CC(=C(C=C1)C(C)C)O,FALSE
87,700,C(CO)N,FALSE
88,7047,C1=CC=C2C(=C1)C=CC=N2,FALSE
89,7127,COC1=C(C=C(C=C1)CC=C)OC,FALSE
90,7144,CC1=CC(=C(C=C1)O)OC,FALSE
